hr,casual,registered,total
0,10.16,43.74,53.9
1,6.5,26.87,33.38
2,4.77,18.1,22.87
3,2.72,9.01,11.73
4,1.25,5.1,6.35
5,1.41,18.48,19.89
6,4.16,71.88,76.04
7,11.06,200.24,212.06
8,21.68,299.52,359.01
9,30.76,188.42,219.31
10,43.57,127.19,173.67
11,51.5,148.6,208.14
12,55.48,184.97,253.32
13,56.81,181.35,253.66
14,59.03,165.38,240.95
15,58.84,176.33,251.23
16,59.32,238.24,311.98
17,62.39,342.05,461.45
18,55.23,328.19,425.51
19,46.14,260.04,311.52
20,35.67,189.8,226.03
21,28.0,144.06,172.31
22,22.17,109.08,131.34
23,15.2,72.63,87.83
